method,dataset,split_id,loader_path,loader_evidence,status,train_hash,n_train,val_hash,n_val,test_hash,n_test
FairGB,bail,23,load_data(fn=True),"pilot_tau.py:60-71; _NORMALIZE[""FairGB""]=True",ok,9879ae48a44bc3d2,100,50dc99b9c23c1439,4719,cd2e77a7b8e80b84,4719
FairGNN,bail,23,load_data(fn=True),"pilot_tau.py:60-71 via published(""FairGNN"") normalize=german/nba",ok,9879ae48a44bc3d2,100,50dc99b9c23c1439,4719,cd2e77a7b8e80b84,4719
FairSIN-GCN,bail,23,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,9879ae48a44bc3d2,100,50dc99b9c23c1439,4719,cd2e77a7b8e80b84,4719
FairSIN-GIN,bail,23,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,9879ae48a44bc3d2,100,50dc99b9c23c1439,4719,cd2e77a7b8e80b84,4719
FairSIN-SAGE,bail,23,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,9879ae48a44bc3d2,100,50dc99b9c23c1439,4719,cd2e77a7b8e80b84,4719
FairVGNN,bail,23,load_data(fn=True),pilot_tau.py:60-71; normalize=german only,ok,9879ae48a44bc3d2,100,50dc99b9c23c1439,4719,cd2e77a7b8e80b84,4719
FairVGNN-GCNspmm,bail,23,load_data(fn=True),x31_fairvgnn_config_run.py:70,ok,9879ae48a44bc3d2,100,50dc99b9c23c1439,4719,cd2e77a7b8e80b84,4719
FairVGNN-SAGE,bail,23,load_data(fn=True),x31_fairvgnn_config_run.py:70,ok,9879ae48a44bc3d2,100,50dc99b9c23c1439,4719,cd2e77a7b8e80b84,4719
GEAR,bail,23,load_data(fn=False),x30_gear.py:187-188,ok,9879ae48a44bc3d2,100,50dc99b9c23c1439,4719,cd2e77a7b8e80b84,4719
NIFTY,bail,23,load_data(fn=False),"pilot_tau.py:60-71; _NORMALIZE[""NIFTY""]=False",ok,9879ae48a44bc3d2,100,50dc99b9c23c1439,4719,cd2e77a7b8e80b84,4719
SFG,bail,23,get_dataset(fn=False),x31_sfg.py:164-165,ok,9879ae48a44bc3d2,100,50dc99b9c23c1439,4719,cd2e77a7b8e80b84,4719
BIND-10pct,bail,24,load_data(fn=False),x30_bind.py:169-171,ok,cb57069e64f19a76,100,2d4b242a063f00b7,4719,f838f25ba62862ee,4719
BIND-1pct,bail,24,load_data(fn=False),x30_bind.py:169-171,ok,cb57069e64f19a76,100,2d4b242a063f00b7,4719,f838f25ba62862ee,4719
BeMap,bail,24,load_data(fn=False),x30_bemap.py:120-121,ok,cb57069e64f19a76,100,2d4b242a063f00b7,4719,f838f25ba62862ee,4719
BeMap-GAT,bail,24,load_data(fn=False),x30_bemap.py:120-121,ok,cb57069e64f19a76,100,2d4b242a063f00b7,4719,f838f25ba62862ee,4719
EDITS,bail,24,load_data(fn=False),x30_edits.py:78-79,ok,cb57069e64f19a76,100,2d4b242a063f00b7,4719,f838f25ba62862ee,4719
FairEdit,bail,24,load_data(fn=False),x30_fairedit.py:53-54 (fn=True on german only),ok,cb57069e64f19a76,100,2d4b242a063f00b7,4719,f838f25ba62862ee,4719
FairGB,bail,24,load_data(fn=True),"pilot_tau.py:60-71; _NORMALIZE[""FairGB""]=True",ok,cb57069e64f19a76,100,2d4b242a063f00b7,4719,f838f25ba62862ee,4719
FairGNN,bail,24,load_data(fn=True),"pilot_tau.py:60-71 via published(""FairGNN"") normalize=german/nba",ok,cb57069e64f19a76,100,2d4b242a063f00b7,4719,f838f25ba62862ee,4719
FairSIN-GCN,bail,24,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,cb57069e64f19a76,100,2d4b242a063f00b7,4719,f838f25ba62862ee,4719
FairSIN-GIN,bail,24,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,cb57069e64f19a76,100,2d4b242a063f00b7,4719,f838f25ba62862ee,4719
FairSIN-SAGE,bail,24,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,cb57069e64f19a76,100,2d4b242a063f00b7,4719,f838f25ba62862ee,4719
FairVGNN,bail,24,load_data(fn=True),pilot_tau.py:60-71; normalize=german only,ok,cb57069e64f19a76,100,2d4b242a063f00b7,4719,f838f25ba62862ee,4719
FairVGNN-GCNspmm,bail,24,load_data(fn=True),x31_fairvgnn_config_run.py:70,ok,cb57069e64f19a76,100,2d4b242a063f00b7,4719,f838f25ba62862ee,4719
FairVGNN-SAGE,bail,24,load_data(fn=True),x31_fairvgnn_config_run.py:70,ok,cb57069e64f19a76,100,2d4b242a063f00b7,4719,f838f25ba62862ee,4719
GEAR,bail,24,load_data(fn=False),x30_gear.py:187-188,ok,cb57069e64f19a76,100,2d4b242a063f00b7,4719,f838f25ba62862ee,4719
NIFTY,bail,24,load_data(fn=False),"pilot_tau.py:60-71; _NORMALIZE[""NIFTY""]=False",ok,cb57069e64f19a76,100,2d4b242a063f00b7,4719,f838f25ba62862ee,4719
SFG,bail,24,get_dataset(fn=False),x31_sfg.py:164-165,ok,cb57069e64f19a76,100,2d4b242a063f00b7,4719,f838f25ba62862ee,4719
BIND-10pct,bail,25,load_data(fn=False),x30_bind.py:169-171,ok,90538193eae91284,100,bc512d00c063f796,4719,af778810d578a52c,4719
BIND-1pct,bail,25,load_data(fn=False),x30_bind.py:169-171,ok,90538193eae91284,100,bc512d00c063f796,4719,af778810d578a52c,4719
BeMap,bail,25,load_data(fn=False),x30_bemap.py:120-121,ok,90538193eae91284,100,bc512d00c063f796,4719,af778810d578a52c,4719
BeMap-GAT,bail,25,load_data(fn=False),x30_bemap.py:120-121,ok,90538193eae91284,100,bc512d00c063f796,4719,af778810d578a52c,4719
EDITS,bail,25,load_data(fn=False),x30_edits.py:78-79,ok,90538193eae91284,100,bc512d00c063f796,4719,af778810d578a52c,4719
FairEdit,bail,25,load_data(fn=False),x30_fairedit.py:53-54 (fn=True on german only),ok,90538193eae91284,100,bc512d00c063f796,4719,af778810d578a52c,4719
FairGB,bail,25,load_data(fn=True),"pilot_tau.py:60-71; _NORMALIZE[""FairGB""]=True",ok,90538193eae91284,100,bc512d00c063f796,4719,af778810d578a52c,4719
FairGNN,bail,25,load_data(fn=True),"pilot_tau.py:60-71 via published(""FairGNN"") normalize=german/nba",ok,90538193eae91284,100,bc512d00c063f796,4719,af778810d578a52c,4719
FairSIN-GCN,bail,25,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,90538193eae91284,100,bc512d00c063f796,4719,af778810d578a52c,4719
FairSIN-GIN,bail,25,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,90538193eae91284,100,bc512d00c063f796,4719,af778810d578a52c,4719
FairSIN-SAGE,bail,25,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,90538193eae91284,100,bc512d00c063f796,4719,af778810d578a52c,4719
FairVGNN,bail,25,load_data(fn=True),pilot_tau.py:60-71; normalize=german only,ok,90538193eae91284,100,bc512d00c063f796,4719,af778810d578a52c,4719
FairVGNN-GCNspmm,bail,25,load_data(fn=True),x31_fairvgnn_config_run.py:70,ok,90538193eae91284,100,bc512d00c063f796,4719,af778810d578a52c,4719
FairVGNN-SAGE,bail,25,load_data(fn=True),x31_fairvgnn_config_run.py:70,ok,90538193eae91284,100,bc512d00c063f796,4719,af778810d578a52c,4719
GEAR,bail,25,load_data(fn=False),x30_gear.py:187-188,ok,90538193eae91284,100,bc512d00c063f796,4719,af778810d578a52c,4719
NIFTY,bail,25,load_data(fn=False),"pilot_tau.py:60-71; _NORMALIZE[""NIFTY""]=False",ok,90538193eae91284,100,bc512d00c063f796,4719,af778810d578a52c,4719
SFG,bail,25,get_dataset(fn=False),x31_sfg.py:164-165,ok,90538193eae91284,100,bc512d00c063f796,4719,af778810d578a52c,4719
BeMap,credit,20,load_data(fn=False),x30_bemap.py:120-121,ok,5806c99c61f017fb,6000,ccaa201444ffda35,7500,32313bc4e61a8eaf,7500
BeMap-GAT,credit,20,load_data(fn=False),x30_bemap.py:120-121,ok,5806c99c61f017fb,6000,ccaa201444ffda35,7500,32313bc4e61a8eaf,7500
EDITS,credit,20,load_data(fn=False),x30_edits.py:78-79,ok,5806c99c61f017fb,6000,ccaa201444ffda35,7500,32313bc4e61a8eaf,7500
FairEdit,credit,20,load_data(fn=False),x30_fairedit.py:53-54 (fn=True on german only),ok,5806c99c61f017fb,6000,ccaa201444ffda35,7500,32313bc4e61a8eaf,7500
FairGB,credit,20,load_data(fn=True),"pilot_tau.py:60-71; _NORMALIZE[""FairGB""]=True",ok,5806c99c61f017fb,6000,ccaa201444ffda35,7500,32313bc4e61a8eaf,7500
FairGNN,credit,20,load_data(fn=True),"pilot_tau.py:60-71 via published(""FairGNN"") normalize=german/nba",ok,5806c99c61f017fb,6000,ccaa201444ffda35,7500,32313bc4e61a8eaf,7500
FairSIN-GCN,credit,20,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,5806c99c61f017fb,6000,ccaa201444ffda35,7500,32313bc4e61a8eaf,7500
FairSIN-GIN,credit,20,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,5806c99c61f017fb,6000,ccaa201444ffda35,7500,32313bc4e61a8eaf,7500
FairSIN-SAGE,credit,20,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,5806c99c61f017fb,6000,ccaa201444ffda35,7500,32313bc4e61a8eaf,7500
FairVGNN,credit,20,load_data(fn=True),pilot_tau.py:60-71; normalize=german only,ok,5806c99c61f017fb,6000,ccaa201444ffda35,7500,32313bc4e61a8eaf,7500
FairVGNN-GIN,credit,20,load_data(fn=True),x31_fairvgnn_config_run.py:70,ok,5806c99c61f017fb,6000,ccaa201444ffda35,7500,32313bc4e61a8eaf,7500
FairVGNN-SAGE,credit,20,load_data(fn=True),x31_fairvgnn_config_run.py:70,ok,5806c99c61f017fb,6000,ccaa201444ffda35,7500,32313bc4e61a8eaf,7500
NIFTY,credit,20,load_data(fn=False),"pilot_tau.py:60-71; _NORMALIZE[""NIFTY""]=False",ok,5806c99c61f017fb,6000,ccaa201444ffda35,7500,32313bc4e61a8eaf,7500
SFG,credit,20,get_dataset(fn=False),x31_sfg.py:164-165,ok,5806c99c61f017fb,6000,ccaa201444ffda35,7500,32313bc4e61a8eaf,7500
BeMap,credit,21,load_data(fn=False),x30_bemap.py:120-121,ok,9d124edc65e83ca0,6000,d7be8785d9c43d85,7500,cf13f5a18e03045f,7500
BeMap-GAT,credit,21,load_data(fn=False),x30_bemap.py:120-121,ok,9d124edc65e83ca0,6000,d7be8785d9c43d85,7500,cf13f5a18e03045f,7500
EDITS,credit,21,load_data(fn=False),x30_edits.py:78-79,ok,9d124edc65e83ca0,6000,d7be8785d9c43d85,7500,cf13f5a18e03045f,7500
FairEdit,credit,21,load_data(fn=False),x30_fairedit.py:53-54 (fn=True on german only),ok,9d124edc65e83ca0,6000,d7be8785d9c43d85,7500,cf13f5a18e03045f,7500
FairGB,credit,21,load_data(fn=True),"pilot_tau.py:60-71; _NORMALIZE[""FairGB""]=True",ok,9d124edc65e83ca0,6000,d7be8785d9c43d85,7500,cf13f5a18e03045f,7500
FairGNN,credit,21,load_data(fn=True),"pilot_tau.py:60-71 via published(""FairGNN"") normalize=german/nba",ok,9d124edc65e83ca0,6000,d7be8785d9c43d85,7500,cf13f5a18e03045f,7500
FairSIN-GCN,credit,21,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,9d124edc65e83ca0,6000,d7be8785d9c43d85,7500,cf13f5a18e03045f,7500
FairSIN-GIN,credit,21,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,9d124edc65e83ca0,6000,d7be8785d9c43d85,7500,cf13f5a18e03045f,7500
FairSIN-SAGE,credit,21,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,9d124edc65e83ca0,6000,d7be8785d9c43d85,7500,cf13f5a18e03045f,7500
FairVGNN,credit,21,load_data(fn=True),pilot_tau.py:60-71; normalize=german only,ok,9d124edc65e83ca0,6000,d7be8785d9c43d85,7500,cf13f5a18e03045f,7500
FairVGNN-GIN,credit,21,load_data(fn=True),x31_fairvgnn_config_run.py:70,ok,9d124edc65e83ca0,6000,d7be8785d9c43d85,7500,cf13f5a18e03045f,7500
FairVGNN-SAGE,credit,21,load_data(fn=True),x31_fairvgnn_config_run.py:70,ok,9d124edc65e83ca0,6000,d7be8785d9c43d85,7500,cf13f5a18e03045f,7500
NIFTY,credit,21,load_data(fn=False),"pilot_tau.py:60-71; _NORMALIZE[""NIFTY""]=False",ok,9d124edc65e83ca0,6000,d7be8785d9c43d85,7500,cf13f5a18e03045f,7500
SFG,credit,21,get_dataset(fn=False),x31_sfg.py:164-165,ok,9d124edc65e83ca0,6000,d7be8785d9c43d85,7500,cf13f5a18e03045f,7500
BeMap,credit,22,load_data(fn=False),x30_bemap.py:120-121,ok,8bf8ab2d614f17a3,6000,df3150d119cc5d56,7500,22bb9de3b651efc6,7500
BeMap-GAT,credit,22,load_data(fn=False),x30_bemap.py:120-121,ok,8bf8ab2d614f17a3,6000,df3150d119cc5d56,7500,22bb9de3b651efc6,7500
EDITS,credit,22,load_data(fn=False),x30_edits.py:78-79,ok,8bf8ab2d614f17a3,6000,df3150d119cc5d56,7500,22bb9de3b651efc6,7500
FairEdit,credit,22,load_data(fn=False),x30_fairedit.py:53-54 (fn=True on german only),ok,8bf8ab2d614f17a3,6000,df3150d119cc5d56,7500,22bb9de3b651efc6,7500
FairGB,credit,22,load_data(fn=True),"pilot_tau.py:60-71; _NORMALIZE[""FairGB""]=True",ok,8bf8ab2d614f17a3,6000,df3150d119cc5d56,7500,22bb9de3b651efc6,7500
FairGNN,credit,22,load_data(fn=True),"pilot_tau.py:60-71 via published(""FairGNN"") normalize=german/nba",ok,8bf8ab2d614f17a3,6000,df3150d119cc5d56,7500,22bb9de3b651efc6,7500
FairSIN-GCN,credit,22,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,8bf8ab2d614f17a3,6000,df3150d119cc5d56,7500,22bb9de3b651efc6,7500
FairSIN-GIN,credit,22,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,8bf8ab2d614f17a3,6000,df3150d119cc5d56,7500,22bb9de3b651efc6,7500
FairSIN-SAGE,credit,22,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,8bf8ab2d614f17a3,6000,df3150d119cc5d56,7500,22bb9de3b651efc6,7500
FairVGNN,credit,22,load_data(fn=True),pilot_tau.py:60-71; normalize=german only,ok,8bf8ab2d614f17a3,6000,df3150d119cc5d56,7500,22bb9de3b651efc6,7500
FairVGNN-GIN,credit,22,load_data(fn=True),x31_fairvgnn_config_run.py:70,ok,8bf8ab2d614f17a3,6000,df3150d119cc5d56,7500,22bb9de3b651efc6,7500
FairVGNN-SAGE,credit,22,load_data(fn=True),x31_fairvgnn_config_run.py:70,ok,8bf8ab2d614f17a3,6000,df3150d119cc5d56,7500,22bb9de3b651efc6,7500
NIFTY,credit,22,load_data(fn=False),"pilot_tau.py:60-71; _NORMALIZE[""NIFTY""]=False",ok,8bf8ab2d614f17a3,6000,df3150d119cc5d56,7500,22bb9de3b651efc6,7500
SFG,credit,22,get_dataset(fn=False),x31_sfg.py:164-165,ok,8bf8ab2d614f17a3,6000,df3150d119cc5d56,7500,22bb9de3b651efc6,7500
BeMap,credit,23,load_data(fn=False),x30_bemap.py:120-121,ok,27e25a962f451d8c,6000,7ee19a5e83bde2f0,7500,eb8b31b81ebe05eb,7500
BeMap-GAT,credit,23,load_data(fn=False),x30_bemap.py:120-121,ok,27e25a962f451d8c,6000,7ee19a5e83bde2f0,7500,eb8b31b81ebe05eb,7500
EDITS,credit,23,load_data(fn=False),x30_edits.py:78-79,ok,27e25a962f451d8c,6000,7ee19a5e83bde2f0,7500,eb8b31b81ebe05eb,7500
FairEdit,credit,23,load_data(fn=False),x30_fairedit.py:53-54 (fn=True on german only),ok,27e25a962f451d8c,6000,7ee19a5e83bde2f0,7500,eb8b31b81ebe05eb,7500
FairGB,credit,23,load_data(fn=True),"pilot_tau.py:60-71; _NORMALIZE[""FairGB""]=True",ok,27e25a962f451d8c,6000,7ee19a5e83bde2f0,7500,eb8b31b81ebe05eb,7500
FairGNN,credit,23,load_data(fn=True),"pilot_tau.py:60-71 via published(""FairGNN"") normalize=german/nba",ok,27e25a962f451d8c,6000,7ee19a5e83bde2f0,7500,eb8b31b81ebe05eb,7500
FairSIN-GCN,credit,23,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,27e25a962f451d8c,6000,7ee19a5e83bde2f0,7500,eb8b31b81ebe05eb,7500
FairSIN-GIN,credit,23,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,27e25a962f451d8c,6000,7ee19a5e83bde2f0,7500,eb8b31b81ebe05eb,7500
FairSIN-SAGE,credit,23,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,27e25a962f451d8c,6000,7ee19a5e83bde2f0,7500,eb8b31b81ebe05eb,7500
FairVGNN,credit,23,load_data(fn=True),pilot_tau.py:60-71; normalize=german only,ok,27e25a962f451d8c,6000,7ee19a5e83bde2f0,7500,eb8b31b81ebe05eb,7500
FairVGNN-GIN,credit,23,load_data(fn=True),x31_fairvgnn_config_run.py:70,ok,27e25a962f451d8c,6000,7ee19a5e83bde2f0,7500,eb8b31b81ebe05eb,7500
