method,configuration,dataset,protocol,store_method,n_rows,resolutions_differ,differing_keys,verdict,evidence,detail
FairEdit,default,german,controlled,FairEdit,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairGB,default,bail,controlled,FairGB,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairGB,default,bail,native,FairGB,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairGB,default,credit,controlled,FairGB,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairGB,default,credit,native,FairGB,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairGB,default,german,controlled,FairGB,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairGB,default,german,native,FairGB,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairGNN,default,bail,controlled,FairGNN,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairGNN,default,credit,controlled,FairGNN,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairGNN,default,pokec_n,controlled,FairGNN,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairGNN,upstreamGAT,pokec_n,controlled,FairGNN-upstreamGAT,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairGNN,upstreamGCN,pokec_n,controlled,FairGNN-upstreamGCN,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairGNN,default,pokec_n_g,controlled,FairGNN,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairGNN,default,pokec_z,controlled,FairGNN,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairGNN,upstreamGAT,pokec_z,controlled,FairGNN-upstreamGAT,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairGNN,upstreamGCN,pokec_z,controlled,FairGNN-upstreamGCN,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairGNN,default,pokec_z_g,controlled,FairGNN,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairSIN,GCN,bail,controlled,FairSIN-GCN,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairSIN,GIN,bail,controlled,FairSIN-GIN,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairSIN,SAGE,bail,controlled,FairSIN-SAGE,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairSIN,GCN,bail,native,FairSIN-GCN,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairSIN,GIN,bail,native,FairSIN-GIN,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairSIN,SAGE,bail,native,FairSIN-SAGE,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairSIN,GCN,credit,controlled,FairSIN-GCN,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairSIN,GIN,credit,controlled,FairSIN-GIN,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairSIN,SAGE,credit,controlled,FairSIN-SAGE,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairSIN,GCN,credit,native,FairSIN-GCN,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairSIN,GIN,credit,native,FairSIN-GIN,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairSIN,SAGE,credit,native,FairSIN-SAGE,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairSIN,GCN,german,controlled,FairSIN-GCN,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairSIN,GIN,german,controlled,FairSIN-GIN,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairSIN,SAGE,german,controlled,FairSIN-SAGE,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairSIN,GCN,german,native,FairSIN-GCN,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairSIN,GIN,german,native,FairSIN-GIN,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairSIN,SAGE,german,native,FairSIN-SAGE,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairSIN,GCN,pokec_n,controlled,FairSIN-GCN,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairSIN,GIN,pokec_n,controlled,FairSIN-GIN,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairSIN,SAGE,pokec_n,controlled,FairSIN-SAGE,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairSIN,GCN,pokec_n,native,FairSIN-GCN,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairSIN,GIN,pokec_n,native,FairSIN-GIN,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairSIN,SAGE,pokec_n,native,FairSIN-SAGE,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairSIN,GCN,pokec_z,controlled,FairSIN-GCN,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairSIN,GIN,pokec_z,controlled,FairSIN-GIN,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairSIN,SAGE,pokec_z,controlled,FairSIN-SAGE,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairSIN,GCN,pokec_z,native,FairSIN-GCN,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairSIN,GIN,pokec_z,native,FairSIN-GIN,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairSIN,SAGE,pokec_z,native,FairSIN-SAGE,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FnRGNN,default,german,controlled,FnRGNN,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FnRGNN,default,pokec_n,controlled,FnRGNN,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FnRGNN,default,pokec_z,controlled,FnRGNN,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
GEAR,default,bail,controlled,GEAR,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
NIFTY,default,bail,controlled,NIFTY,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
NIFTY,default,credit,controlled,NIFTY,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
SFG,default,bail,controlled,SFG,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
SFG,default,bail,native,SFG,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
SFG,default,credit,controlled,SFG,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
SFG,default,credit,native,SFG,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
SFG,default,german,controlled,SFG,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
SFG,default,german,native,SFG,60,False,,indistinguishable,none,the two resolutions agree: this cell does not depend on harness/provenance/
FairGNN,default,german,controlled,FairGNN,60,True,"__horizon__,num_hidden",no_recorded_evidence,none,the resolutions differ but the runner recorded nothing that distinguishes them
FairVGNN,default,bail,controlled,FairVGNN,60,True,"K,__horizon__,c_epochs,c_lr,c_wd,clip_e,d_epochs,dropout,e_lr,e_wd,g_epochs,prop,ratio",no_recorded_evidence,none,the resolutions differ but the runner recorded nothing that distinguishes them
FairVGNN,GCNspmm,bail,controlled,FairVGNN-GCNspmm,60,True,"K,__horizon__,c_epochs,c_lr,c_wd,clip_e,d_epochs,dropout,e_lr,e_wd,g_epochs,prop,ratio",no_recorded_evidence,none,the resolutions differ but the runner recorded nothing that distinguishes them
FairVGNN,SAGE,bail,controlled,FairVGNN-SAGE,60,True,"K,__horizon__,c_epochs,c_lr,c_wd,clip_e,d_epochs,dropout,e_lr,e_wd,g_epochs,prop,ratio",no_recorded_evidence,none,the resolutions differ but the runner recorded nothing that distinguishes them
FairVGNN,default,credit,controlled,FairVGNN,60,True,"K,__horizon__,c_epochs,c_lr,c_wd,clip_e,d_epochs,dropout,e_lr,e_wd,g_epochs,prop,ratio",no_recorded_evidence,none,the resolutions differ but the runner recorded nothing that distinguishes them
FairVGNN,GIN,credit,controlled,FairVGNN-GIN,60,True,"K,__horizon__,c_epochs,c_lr,c_wd,clip_e,d_epochs,dropout,e_lr,e_wd,g_epochs,prop,ratio",no_recorded_evidence,none,the resolutions differ but the runner recorded nothing that distinguishes them
FairVGNN,SAGE,credit,controlled,FairVGNN-SAGE,60,True,"K,__horizon__,c_epochs,c_lr,c_wd,clip_e,d_epochs,dropout,e_lr,e_wd,g_epochs,prop,ratio",no_recorded_evidence,none,the resolutions differ but the runner recorded nothing that distinguishes them
FairVGNN,default,german,controlled,FairVGNN,60,True,"K,__horizon__,c_epochs,c_lr,c_wd,clip_e,d_epochs,dropout,e_lr,e_wd,g_epochs,prop,ratio",no_recorded_evidence,none,the resolutions differ but the runner recorded nothing that distinguishes them
FairVGNN,GCNspmm,german,controlled,FairVGNN-GCNspmm,60,True,"K,__horizon__,c_epochs,c_lr,c_wd,clip_e,d_epochs,dropout,e_lr,e_wd,g_epochs,prop,ratio",no_recorded_evidence,none,the resolutions differ but the runner recorded nothing that distinguishes them
FairVGNN,GIN,german,controlled,FairVGNN-GIN,60,True,"K,__horizon__,c_epochs,c_lr,c_wd,clip_e,d_epochs,dropout,e_lr,e_wd,g_epochs,prop,ratio",no_recorded_evidence,none,the resolutions differ but the runner recorded nothing that distinguishes them
FairVGNN,SAGE,german,controlled,FairVGNN-SAGE,60,True,"K,__horizon__,c_epochs,c_lr,c_wd,clip_e,d_epochs,dropout,e_lr,e_wd,g_epochs,prop,ratio",no_recorded_evidence,none,the resolutions differ but the runner recorded nothing that distinguishes them
NIFTY,default,german,controlled,NIFTY,60,True,"__horizon__,num_hidden,sim_coeff",no_recorded_evidence,none,the resolutions differ but the runner recorded nothing that distinguishes them
