method,backbone,dataset,family,controlled_selector,native_selector_actual,selector_changed,horizon_controlled,horizon_native,other_factors_actual,factors_changed_string,string_matches_reality,label
FairSIN,GIN,pokec_n,systematic,sigma_c^BCE (common_bce) [method_configurations.csv controlled rows; pilot_tau.py:520-525],"sigma_c^BCE (common_bce) - identical to controlled. tau_I = int_ndp = -(m1_dp-m0_dp) built from h1.slots[sel]/h0.slots[sel] at pilot_tau.py:524-525,570-572 (x30_run.py:233,255 / x31_*_config_run.py for x30/x31). The published rule ran and is stored only as code_epoch/m1pub_* (x30_fairsin.py:310-312 (strict > on val AUC+F1+ACC - alpha*(DP+EO), floor 0)), feeding tau_pkg only (pilot_tau.py:518,557,564,571-573). Verified: mean int_ndp over common_bce rows of harness/results/x30/x30native_FairSIN-GIN_pokec_n.csv equals the published y_mean to <1e-9",no,"200 (b_epochs=200 in harness/results/x30/x30native_FairSIN-GIN_pokec_n.csv; method_configurations.csv ""H = 200"")",100 (method_epochs=100 in harness/results/x30/x30native_FairSIN-GIN_pokec_n.csv),none beyond horizon; preprocessing identical to the controlled arm (results/method_configurations.csv: controlled and native rows share the same `preprocessing` text),horizon 200 -> 100; selector: sigma_c -> the method's own published rule,no,[확인됨]
FairSIN,GIN,pokec_z,systematic,sigma_c^BCE (common_bce) [method_configurations.csv controlled rows; pilot_tau.py:520-525],"sigma_c^BCE (common_bce) - identical to controlled. tau_I = int_ndp = -(m1_dp-m0_dp) built from h1.slots[sel]/h0.slots[sel] at pilot_tau.py:524-525,570-572 (x30_run.py:233,255 / x31_*_config_run.py for x30/x31). The published rule ran and is stored only as code_epoch/m1pub_* (x30_fairsin.py:310-312 (strict > on val AUC+F1+ACC - alpha*(DP+EO), floor 0)), feeding tau_pkg only (pilot_tau.py:518,557,564,571-573). Verified: mean int_ndp over common_bce rows of harness/results/x30/x30native_FairSIN-GIN_pokec_z.csv equals the published y_mean to <1e-9",no,"200 (b_epochs=200 in harness/results/x30/x30native_FairSIN-GIN_pokec_z.csv; method_configurations.csv ""H = 200"")",100 (method_epochs=100 in harness/results/x30/x30native_FairSIN-GIN_pokec_z.csv),none beyond horizon; preprocessing identical to the controlled arm (results/method_configurations.csv: controlled and native rows share the same `preprocessing` text),horizon 200 -> 100; selector: sigma_c -> the method's own published rule,no,[확인됨]
FairSIN,SAGE,bail,systematic,sigma_c^BCE (common_bce) [method_configurations.csv controlled rows; pilot_tau.py:520-525],"sigma_c^BCE (common_bce) - identical to controlled. tau_I = int_ndp = -(m1_dp-m0_dp) built from h1.slots[sel]/h0.slots[sel] at pilot_tau.py:524-525,570-572 (x30_run.py:233,255 / x31_*_config_run.py for x30/x31). The published rule ran and is stored only as code_epoch/m1pub_* (x30_fairsin.py:310-312 (strict > on val AUC+F1+ACC - alpha*(DP+EO), floor 0)), feeding tau_pkg only (pilot_tau.py:518,557,564,571-573). Verified: mean int_ndp over common_bce rows of harness/results/x30/x30native_FairSIN-SAGE_bail.csv equals the published y_mean to <1e-9",no,"200 (b_epochs=200 in harness/results/x30/x30native_FairSIN-SAGE_bail.csv; method_configurations.csv ""H = 200"")",150 (method_epochs=150 in harness/results/x30/x30native_FairSIN-SAGE_bail.csv),none beyond horizon; preprocessing identical to the controlled arm (results/method_configurations.csv: controlled and native rows share the same `preprocessing` text),horizon 200 -> 150; selector: sigma_c -> the method's own published rule,no,[확인됨]
FairSIN,SAGE,credit,systematic,sigma_c^BCE (common_bce) [method_configurations.csv controlled rows; pilot_tau.py:520-525],"sigma_c^BCE (common_bce) - identical to controlled. tau_I = int_ndp = -(m1_dp-m0_dp) built from h1.slots[sel]/h0.slots[sel] at pilot_tau.py:524-525,570-572 (x30_run.py:233,255 / x31_*_config_run.py for x30/x31). The published rule ran and is stored only as code_epoch/m1pub_* (x30_fairsin.py:310-312 (strict > on val AUC+F1+ACC - alpha*(DP+EO), floor 0)), feeding tau_pkg only (pilot_tau.py:518,557,564,571-573). Verified: mean int_ndp over common_bce rows of harness/results/x30/x30native_FairSIN-SAGE_credit.csv equals the published y_mean to <1e-9",no,"200 (b_epochs=200 in harness/results/x30/x30native_FairSIN-SAGE_credit.csv; method_configurations.csv ""H = 200"")",150 (method_epochs=150 in harness/results/x30/x30native_FairSIN-SAGE_credit.csv),none beyond horizon; preprocessing identical to the controlled arm (results/method_configurations.csv: controlled and native rows share the same `preprocessing` text),horizon 200 -> 150; selector: sigma_c -> the method's own published rule,no,[확인됨]
FairSIN,SAGE,german,systematic,sigma_c^BCE (common_bce) [method_configurations.csv controlled rows; pilot_tau.py:520-525],"sigma_c^BCE (common_bce) - identical to controlled. tau_I = int_ndp = -(m1_dp-m0_dp) built from h1.slots[sel]/h0.slots[sel] at pilot_tau.py:524-525,570-572 (x30_run.py:233,255 / x31_*_config_run.py for x30/x31). The published rule ran and is stored only as code_epoch/m1pub_* (x30_fairsin.py:310-312 (strict > on val AUC+F1+ACC - alpha*(DP+EO), floor 0)), feeding tau_pkg only (pilot_tau.py:518,557,564,571-573). Verified: mean int_ndp over common_bce rows of harness/results/x30/x30native_FairSIN-SAGE_german.csv equals the published y_mean to <1e-9",no,"200 (b_epochs=200 in harness/results/x30/x30native_FairSIN-SAGE_german.csv; method_configurations.csv ""H = 200"")",100 (method_epochs=100 in harness/results/x30/x30native_FairSIN-SAGE_german.csv),none beyond horizon; preprocessing identical to the controlled arm (results/method_configurations.csv: controlled and native rows share the same `preprocessing` text),horizon 200 -> 100; selector: sigma_c -> the method's own published rule,no,[확인됨]
FairSIN,SAGE,pokec_n,systematic,sigma_c^BCE (common_bce) [method_configurations.csv controlled rows; pilot_tau.py:520-525],"sigma_c^BCE (common_bce) - identical to controlled. tau_I = int_ndp = -(m1_dp-m0_dp) built from h1.slots[sel]/h0.slots[sel] at pilot_tau.py:524-525,570-572 (x30_run.py:233,255 / x31_*_config_run.py for x30/x31). The published rule ran and is stored only as code_epoch/m1pub_* (x30_fairsin.py:310-312 (strict > on val AUC+F1+ACC - alpha*(DP+EO), floor 0)), feeding tau_pkg only (pilot_tau.py:518,557,564,571-573). Verified: mean int_ndp over common_bce rows of harness/results/x30/x30native_FairSIN-SAGE_pokec_n.csv equals the published y_mean to <1e-9",no,"200 (b_epochs=200 in harness/results/x30/x30native_FairSIN-SAGE_pokec_n.csv; method_configurations.csv ""H = 200"")",150 (method_epochs=150 in harness/results/x30/x30native_FairSIN-SAGE_pokec_n.csv),none beyond horizon; preprocessing identical to the controlled arm (results/method_configurations.csv: controlled and native rows share the same `preprocessing` text),horizon 200 -> 150; selector: sigma_c -> the method's own published rule,no,[확인됨]
FairSIN,SAGE,pokec_z,systematic,sigma_c^BCE (common_bce) [method_configurations.csv controlled rows; pilot_tau.py:520-525],"sigma_c^BCE (common_bce) - identical to controlled. tau_I = int_ndp = -(m1_dp-m0_dp) built from h1.slots[sel]/h0.slots[sel] at pilot_tau.py:524-525,570-572 (x30_run.py:233,255 / x31_*_config_run.py for x30/x31). The published rule ran and is stored only as code_epoch/m1pub_* (x30_fairsin.py:310-312 (strict > on val AUC+F1+ACC - alpha*(DP+EO), floor 0)), feeding tau_pkg only (pilot_tau.py:518,557,564,571-573). Verified: mean int_ndp over common_bce rows of harness/results/x30/x30native_FairSIN-SAGE_pokec_z.csv equals the published y_mean to <1e-9",no,"200 (b_epochs=200 in harness/results/x30/x30native_FairSIN-SAGE_pokec_z.csv; method_configurations.csv ""H = 200"")",150 (method_epochs=150 in harness/results/x30/x30native_FairSIN-SAGE_pokec_z.csv),none beyond horizon; preprocessing identical to the controlled arm (results/method_configurations.csv: controlled and native rows share the same `preprocessing` text),horizon 200 -> 150; selector: sigma_c -> the method's own published rule,no,[확인됨]
FairVGNN,GCN,bail,targeted,sigma_c^BCE (common_bce) [method_configurations.csv controlled rows; pilot_tau.py:520-525],"sigma_c^BCE (common_bce) - identical to controlled. tau_I = int_ndp = -(m1_dp-m0_dp) built from h1.slots[sel]/h0.slots[sel] at pilot_tau.py:524-525,570-572 (x30_run.py:233,255 / x31_*_config_run.py for x30/x31). The published rule ran and is stored only as code_epoch/m1pub_* (FairVGNN.py:1096,1271 (best_epoch)), feeding tau_pkg only (pilot_tau.py:518,557,564,571-573). Verified: mean int_ndp over common_bce rows of harness/results/armB_native_FairVGNN_bail.csv equals the published y_mean to <1e-9",no,"200 (b_epochs=200 in harness/results/armB_native_FairVGNN_bail.csv; method_configurations.csv ""H = 200"")",300 (method_epochs=300 in harness/results/armB_native_FairVGNN_bail.csv),harness feature_normalize controlled=0 -> native=0 (published_config.py:371-376),horizon 200 -> 300; selector: sigma_c -> the method's own published rule,no,[확인됨]
SFG,SAGE,bail,systematic,sigma_c^BCE (common_bce) [method_configurations.csv controlled rows; pilot_tau.py:520-525],"sigma_c^BCE (common_bce) - identical to controlled. tau_I = int_ndp = -(m1_dp-m0_dp) built from h1.slots[sel]/h0.slots[sel] at pilot_tau.py:524-525,570-572 (x30_run.py:233,255 / x31_*_config_run.py for x30/x31). The published rule ran and is stored only as code_epoch/m1pub_* (x31_sfg.py:220-222 (sfg.py:334-344 validation trade-off, strict >, floor 0)), feeding tau_pkg only (pilot_tau.py:518,557,564,571-573). Verified: mean int_ndp over common_bce rows of harness/results/x31/x31native_SFG_bail.csv equals the published y_mean to <1e-9",no,"200 (b_epochs=200 in harness/results/x31/x31native_SFG_bail.csv; method_configurations.csv ""H = 200"")",160 (method_epochs=160 in harness/results/x31/x31native_SFG_bail.csv),none beyond horizon; preprocessing identical to the controlled arm (results/method_configurations.csv: controlled and native rows share the same `preprocessing` text),horizon 200 -> 160; selector: sigma_c -> the method's own published rule,no,[확인됨]
SFG,SAGE,credit,systematic,sigma_c^BCE (common_bce) [method_configurations.csv controlled rows; pilot_tau.py:520-525],"sigma_c^BCE (common_bce) - identical to controlled. tau_I = int_ndp = -(m1_dp-m0_dp) built from h1.slots[sel]/h0.slots[sel] at pilot_tau.py:524-525,570-572 (x30_run.py:233,255 / x31_*_config_run.py for x30/x31). The published rule ran and is stored only as code_epoch/m1pub_* (x31_sfg.py:220-222 (sfg.py:334-344 validation trade-off, strict >, floor 0)), feeding tau_pkg only (pilot_tau.py:518,557,564,571-573). Verified: mean int_ndp over common_bce rows of harness/results/x31/x31native_SFG_credit.csv equals the published y_mean to <1e-9",no,"200 (b_epochs=200 in harness/results/x31/x31native_SFG_credit.csv; method_configurations.csv ""H = 200"")",200 (method_epochs=200 in harness/results/x31/x31native_SFG_credit.csv),none beyond horizon; preprocessing identical to the controlled arm (results/method_configurations.csv: controlled and native rows share the same `preprocessing` text),horizon unchanged (200); selector: sigma_c -> the method's own published rule,no,[확인됨]
SFG,SAGE,german,systematic,sigma_c^BCE (common_bce) [method_configurations.csv controlled rows; pilot_tau.py:520-525],"sigma_c^BCE (common_bce) - identical to controlled. tau_I = int_ndp = -(m1_dp-m0_dp) built from h1.slots[sel]/h0.slots[sel] at pilot_tau.py:524-525,570-572 (x30_run.py:233,255 / x31_*_config_run.py for x30/x31). The published rule ran and is stored only as code_epoch/m1pub_* (x31_sfg.py:220-222 (sfg.py:334-344 validation trade-off, strict >, floor 0)), feeding tau_pkg only (pilot_tau.py:518,557,564,571-573). Verified: mean int_ndp over common_bce rows of harness/results/x31/x31native_SFG_german.csv equals the published y_mean to <1e-9",no,"200 (b_epochs=200 in harness/results/x31/x31native_SFG_german.csv; method_configurations.csv ""H = 200"")",200 (method_epochs=200 in harness/results/x31/x31native_SFG_german.csv),none beyond horizon; preprocessing identical to the controlled arm (results/method_configurations.csv: controlled and native rows share the same `preprocessing` text),horizon unchanged (200); selector: sigma_c -> the method's own published rule,no,[확인됨]
FairGB,SAGE,german,targeted,sigma_c^BCE (common_bce) [method_configurations.csv controlled rows; pilot_tau.py:520-525],"sigma_c^BCE (common_bce) - identical to controlled. tau_I = int_ndp = -(m1_dp-m0_dp) built from h1.slots[sel]/h0.slots[sel] at pilot_tau.py:524-525,570-572 (x30_run.py:233,255 / x31_*_config_run.py for x30/x31). The published rule ran and is stored only as code_epoch/m1pub_* (FairGB_alg.py:102,208 (best_epoch)), feeding tau_pkg only (pilot_tau.py:518,557,564,571-573). Verified: mean int_ndp over common_bce rows of harness/results/armB_native_FairGB_german.csv equals the published y_mean to <1e-9",no,"200 (b_epochs=200 in harness/results/armB_native_FairGB_german.csv; method_configurations.csv ""H = 200"")",1500 (method_epochs=1500 in harness/results/armB_native_FairGB_german.csv),feature_normalize controlled=1 -> native=0 (store column feature_normalize in harness/results/armB_native_FairGB_german.csv; armA_german.csv for controlled; published_config.py:353-359),horizon 200 -> 1500; selector: sigma_c -> the method's own published rule; feature normalization off (upstream data_utils.py rule),no,[확인됨]
FairVGNN,GCN,credit,targeted,sigma_c^BCE (common_bce) [method_configurations.csv controlled rows; pilot_tau.py:520-525],"sigma_c^BCE (common_bce) - identical to controlled. tau_I = int_ndp = -(m1_dp-m0_dp) built from h1.slots[sel]/h0.slots[sel] at pilot_tau.py:524-525,570-572 (x30_run.py:233,255 / x31_*_config_run.py for x30/x31). The published rule ran and is stored only as code_epoch/m1pub_* (FairVGNN.py:1096,1271 (best_epoch)), feeding tau_pkg only (pilot_tau.py:518,557,564,571-573). Verified: mean int_ndp over common_bce rows of harness/results/armB_native_FairVGNN_credit.csv equals the published y_mean to <1e-9",no,"200 (b_epochs=200 in harness/results/armB_native_FairVGNN_credit.csv; method_configurations.csv ""H = 200"")",200 (method_epochs=200 in harness/results/armB_native_FairVGNN_credit.csv),"harness feature_normalize controlled=0 -> native=0 (published_config.py:371-376); fairvgnn_credit_adapter=True, clip_c=1.0 (published_config.py:363-369; applied pilot_tau.py:241)","horizon unchanged (200); selector: sigma_c -> the method's own published rule; training loop from fairvgnn_credit.py via harness/adapters/fairvgnn_credit_native.py (clip_c=1.0, official-repo-default)",no,[확인됨]
FairVGNN,GCN,german,targeted,sigma_c^BCE (common_bce) [method_configurations.csv controlled rows; pilot_tau.py:520-525],"sigma_c^BCE (common_bce) - identical to controlled. tau_I = int_ndp = -(m1_dp-m0_dp) built from h1.slots[sel]/h0.slots[sel] at pilot_tau.py:524-525,570-572 (x30_run.py:233,255 / x31_*_config_run.py for x30/x31). The published rule ran and is stored only as code_epoch/m1pub_* (FairVGNN.py:1096,1271 (best_epoch)), feeding tau_pkg only (pilot_tau.py:518,557,564,571-573). Verified: mean int_ndp over common_bce rows of harness/results/armB_native_FairVGNN_german.csv equals the published y_mean to <1e-9",no,"200 (b_epochs=200 in harness/results/armB_native_FairVGNN_german.csv; method_configurations.csv ""H = 200"")",200 (method_epochs=200 in harness/results/armB_native_FairVGNN_german.csv),harness feature_normalize controlled=1 -> native=0 (published_config.py:371-376); vg_wrapper_normalize=False (published_config.py:370-376; applied pilot_tau.py:254),horizon unchanged (200); selector: sigma_c -> the method's own published rule; feature normalization off (official dataset.py rule); harness pre-norm and wrapper norm disabled,no,[확인됨]
NIFTY,GCN,german,targeted,sigma_c^BCE (common_bce) [method_configurations.csv controlled rows; pilot_tau.py:520-525],"sigma_c^BCE (common_bce) - identical to controlled. tau_I = int_ndp = -(m1_dp-m0_dp) built from h1.slots[sel]/h0.slots[sel] at pilot_tau.py:524-525,570-572 (x30_run.py:233,255 / x31_*_config_run.py for x30/x31). The published rule ran and is stored only as code_epoch/m1pub_* (NIFTY.py:513-515,525-532 (argmin val_c_loss+val_s_loss)), feeding tau_pkg only (pilot_tau.py:518,557,564,571-573). Verified: mean int_ndp over common_bce rows of harness/results/armB_native_NIFTY_german.csv equals the published y_mean to <1e-9",no,"200 (b_epochs=200 in harness/results/armB_native_NIFTY_german.csv; method_configurations.csv ""H = 200"")",1000 (method_epochs=1000 in harness/results/armB_native_NIFTY_german.csv),train/val-view drop rates restored from the official command (published_config.py:341-352; applied pilot_tau.py:154-159); feature_normalize 0 -> 0 (unchanged),horizon 200 -> 1000; selector: sigma_c -> the method's own published rule; training and validation-view drop rates from the official command,no,[확인됨]
