method,backbone,dataset,configuration,protocol,intervention_I,M_plus_I,M_minus_I,horizon,selector,optimizer_and_hyperparameters,preprocessing,configuration_source,provenance,caveat,native_evaluation_role,baseline_reference_protocol
FairVGNN,GCN,german,default,controlled,generative feature masking (f_mask) and weight clipping (weight_clip),"top_k=10, alpha=1, clip_e=0.1, ratio=0","f_mask=no, weight_clip=no",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",K=10; alpha=1; c_epochs=10; c_lr=0.01; c_wd=0; clip_e=0.1; d_epochs=5; dropout=0.5; e_lr=0.001; e_wd=0; g_epochs=5; hidden=16; prop=scatter; ratio=0; top_k=10,feature_normalize=True,harness/provenance/fairvgnn_run_german.sh,official-repo,"official ablation retunes clip_e:0.1->1, e_lr:0.001->0.01, ratio:0->1; official-repo-default (the authors' script runs this dataset but leaves these at fairvgnn.py's parser default): K, alpha, c_wd, dropout, e_wd, hidden, prop, top_k, epochs; param.json disagrees (top_k/alpha [5, 0.5] vs official 10/1)",,same_protocol
FairVGNN,GCN,bail,default,controlled,generative feature masking (f_mask) and weight clipping (weight_clip),"top_k=10, alpha=1, clip_e=1, ratio=1","f_mask=no, weight_clip=no",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",K=10; alpha=1; c_epochs=10; c_lr=0.01; c_wd=0; clip_e=1; d_epochs=5; dropout=0.5; e_lr=0.001; e_wd=0; g_epochs=10; hidden=16; prop=scatter; ratio=1; top_k=10,feature_normalize=False,harness/provenance/fairvgnn_run_bail.sh,official-repo,"official ablation retunes c_lr:0.01->0.001, epochs:300->200, g_epochs:10->5; official-repo-default (the authors' script runs this dataset but leaves these at fairvgnn.py's parser default): K, alpha, c_wd, dropout, e_wd, hidden, prop, top_k; param.json disagrees (top_k/alpha [5, 1] vs official 10/1)",,same_protocol
FairVGNN,GCN,credit,default,controlled,generative feature masking (f_mask) and weight clipping (weight_clip),"top_k=10, alpha=1, clip_e=1, ratio=0","f_mask=no, weight_clip=no",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",K=10; alpha=1; c_epochs=5; c_lr=0.01; c_wd=0; clip_e=1; d_epochs=5; dropout=0.5; e_lr=0.01; e_wd=0; g_epochs=10; hidden=16; prop=scatter; ratio=0; top_k=10,feature_normalize=False,harness/provenance/fairvgnn_run_credit.sh,official-repo,"official ablation retunes g_epochs:10->5, ratio:0->1; official-repo-default (the authors' script runs this dataset but leaves these at fairvgnn.py's parser default): K, alpha, c_wd, dropout, e_wd, hidden, prop, top_k; param.json disagrees (top_k/alpha [5, 0.5] vs official 10/1)",,same_protocol
FairGB,SAGE,german,default,controlled,contribution alignment (CAL) and counterfactual node mixup (CNM),"alpha=4, eta=0.7","use_cal=False, use_cnm=False",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",alpha=4; c_lr=0.01; e_lr=0.01; eta=0.7; hidden=16,feature_normalize=True,FairGB-main/run.sh,official-repo,official-repo-default: hidden=16 (run.sh does not set it),,same_protocol
FairGB,SAGE,bail,default,controlled,contribution alignment (CAL) and counterfactual node mixup (CNM),alpha=2,"use_cal=False, use_cnm=False",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",alpha=2; c_lr=0.01; e_lr=0.01; hidden=16,feature_normalize=True,FairGB-main/run.sh,official-repo,official-repo-default: hidden=16 (run.sh does not set it),,same_protocol
FairGB,SAGE,credit,default,controlled,contribution alignment (CAL) and counterfactual node mixup (CNM),alpha=1,"use_cal=False, use_cnm=False",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",alpha=1; c_lr=0.01; c_wd=0.0001; e_lr=0.01; e_wd=0.0001; hidden=16,feature_normalize=True,FairGB-main/run.sh,official-repo,official-repo-default: hidden=16 (run.sh does not set it),,same_protocol
B (common baseline),GCN,german,baseline,controlled,none (reference arm),-,-,H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",lr=0.001; num_hidden=16; num_proj_hidden=16; weight_decay=0.0,feature_normalize=False,"published('GNN', dataset) -> utils/param.json",third-party-benchmark,,,same_protocol
B (common baseline),GCN,bail,baseline,controlled,none (reference arm),-,-,H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",lr=0.001; num_hidden=8; num_proj_hidden=4; weight_decay=0.0,feature_normalize=False,"published('GNN', dataset) -> utils/param.json",local-unverified,,,same_protocol
B (common baseline),GCN,credit,baseline,controlled,none (reference arm),-,-,H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",lr=0.001; num_hidden=32; num_proj_hidden=4; weight_decay=0.0,feature_normalize=False,"published('GNN', dataset) -> utils/param.json",local-unverified,,,same_protocol
B (common baseline),GCN,pokec_z,baseline,controlled,none (reference arm),-,-,H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",lr=0.001; num_hidden=4; num_proj_hidden=16; weight_decay=0.0,feature_normalize=False,"published('GNN', dataset) -> utils/param.json",local-unverified,,,same_protocol
B (common baseline),GCN,pokec_n,baseline,controlled,none (reference arm),-,-,H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",lr=0.001; num_hidden=32; num_proj_hidden=64; weight_decay=0.0,feature_normalize=False,"published('GNN', dataset) -> utils/param.json",local-unverified,,,same_protocol
B (common baseline),GCN,income,baseline,controlled,none (reference arm),-,-,H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",lr=0.001; num_hidden=128; num_proj_hidden=128; weight_decay=0.0,feature_normalize=False,"published('GNN', dataset) -> utils/param.json",local-unverified,,,same_protocol
FairSIN,GCN,german,GCN,controlled,neutralisation x + delta*MLP(x) and the discriminator step,"delta=0.1, d='yes'","delta=0, d='no'",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",hidden=18; c_lr=0.1; e_lr=0.1; c_wd=0.0; e_wd=0.0; d_lr=0.01; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=20; dropout=0.5; alpha=1.0; prop=scatter; m_lr=0.1,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:55 (ablation block), script in-train.py",official-repo,primary backbone,,same_protocol
FairSIN,GCN,german,GCN,native,neutralisation x + delta*MLP(x) and the discriminator step,"delta=0.1, d='yes'","delta=0, d='no'",native horizon = 150,"val AUC+F1+ACC - alpha*(DP+EO), strict >, floor 0",hidden=18; c_lr=0.1; e_lr=0.1; c_wd=0.0; e_wd=0.0; d_lr=0.01; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=20; dropout=0.5; alpha=1.0; prop=scatter; m_lr=0.1,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:55 (ablation block), script in-train.py",official-repo,primary backbone,systematic,controlled_fixed_reference
FairSIN,GIN,german,GIN,controlled,neutralisation x + delta*MLP(x) and the discriminator step,"delta=0.5, d='yes'","delta=0, d='no'",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",hidden=54; c_lr=0.01; e_lr=0.01; c_wd=0.0; e_wd=0.0; d_lr=0.01; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=20; dropout=0.5; alpha=2.0; prop=scatter; m_lr=0.1,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:77 (ablation block), script in-train.py",official-repo,"backbone variant, reported apart, never pooled",,same_protocol
FairSIN,GIN,german,GIN,native,neutralisation x + delta*MLP(x) and the discriminator step,"delta=0.5, d='yes'","delta=0, d='no'",native horizon = 100,"val AUC+F1+ACC - alpha*(DP+EO), strict >, floor 0",hidden=54; c_lr=0.01; e_lr=0.01; c_wd=0.0; e_wd=0.0; d_lr=0.01; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=20; dropout=0.5; alpha=2.0; prop=scatter; m_lr=0.1,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:77 (ablation block), script in-train.py",official-repo,"backbone variant, reported apart, never pooled",systematic,controlled_fixed_reference
FairSIN,SAGE,german,SAGE,controlled,neutralisation x + delta*MLP(x) and the discriminator step,"delta=1.0, d='yes'","delta=0, d='no'",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",hidden=36; c_lr=0.01; e_lr=0.01; c_wd=0.0; e_wd=0.0; d_lr=0.01; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=10; dropout=0.0; alpha=1.0; prop=scatter; m_lr=0.1,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:99 (ablation block), script in-train.py",official-repo,"backbone variant, reported apart, never pooled",,same_protocol
FairSIN,SAGE,german,SAGE,native,neutralisation x + delta*MLP(x) and the discriminator step,"delta=1.0, d='yes'","delta=0, d='no'",native horizon = 100,"val AUC+F1+ACC - alpha*(DP+EO), strict >, floor 0",hidden=36; c_lr=0.01; e_lr=0.01; c_wd=0.0; e_wd=0.0; d_lr=0.01; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=10; dropout=0.0; alpha=1.0; prop=scatter; m_lr=0.1,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:99 (ablation block), script in-train.py",official-repo,"backbone variant, reported apart, never pooled",systematic,controlled_fixed_reference
FairSIN,GCN,bail,GCN,controlled,neutralisation x + delta*MLP(x) and the discriminator step,"delta=0.1, d='yes'","delta=0, d='no'",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",hidden=18; c_lr=0.01; e_lr=0.01; c_wd=0.0; e_wd=0.0; d_lr=0.01; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=20; dropout=0.5; alpha=1.0; prop=scatter; m_lr=0.1,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:65 (ablation block), script in-train.py",official-repo,primary backbone,,same_protocol
FairSIN,GCN,bail,GCN,native,neutralisation x + delta*MLP(x) and the discriminator step,"delta=0.1, d='yes'","delta=0, d='no'",native horizon = 100,"val AUC+F1+ACC - alpha*(DP+EO), strict >, floor 0",hidden=18; c_lr=0.01; e_lr=0.01; c_wd=0.0; e_wd=0.0; d_lr=0.01; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=20; dropout=0.5; alpha=1.0; prop=scatter; m_lr=0.1,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:65 (ablation block), script in-train.py",official-repo,primary backbone,systematic,controlled_fixed_reference
FairSIN,GIN,bail,GIN,controlled,neutralisation x + delta*MLP(x) and the discriminator step,"delta=1.25, d='yes'","delta=0, d='no'",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",hidden=54; c_lr=0.01; e_lr=0.01; c_wd=0.0; e_wd=0.0; d_lr=0.01; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=20; dropout=0.5; alpha=1.0; prop=scatter; m_lr=0.1,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:87 (ablation block), script in-train.py",official-repo,"backbone variant, reported apart, never pooled",,same_protocol
FairSIN,GIN,bail,GIN,native,neutralisation x + delta*MLP(x) and the discriminator step,"delta=1.25, d='yes'","delta=0, d='no'",native horizon = 100,"val AUC+F1+ACC - alpha*(DP+EO), strict >, floor 0",hidden=54; c_lr=0.01; e_lr=0.01; c_wd=0.0; e_wd=0.0; d_lr=0.01; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=20; dropout=0.5; alpha=1.0; prop=scatter; m_lr=0.1,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:87 (ablation block), script in-train.py",official-repo,"backbone variant, reported apart, never pooled",systematic,controlled_fixed_reference
FairSIN,SAGE,bail,SAGE,controlled,neutralisation x + delta*MLP(x) and the discriminator step,"delta=0.05, d='yes'","delta=0, d='no'",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",hidden=36; c_lr=0.01; e_lr=0.01; c_wd=0.0; e_wd=0.0; d_lr=0.01; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=10; dropout=0.8; alpha=1.0; prop=scatter; m_lr=0.1,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:109 (ablation block), script in-train.py",official-repo,"backbone variant, reported apart, never pooled",,same_protocol
FairSIN,SAGE,bail,SAGE,native,neutralisation x + delta*MLP(x) and the discriminator step,"delta=0.05, d='yes'","delta=0, d='no'",native horizon = 150,"val AUC+F1+ACC - alpha*(DP+EO), strict >, floor 0",hidden=36; c_lr=0.01; e_lr=0.01; c_wd=0.0; e_wd=0.0; d_lr=0.01; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=10; dropout=0.8; alpha=1.0; prop=scatter; m_lr=0.1,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:109 (ablation block), script in-train.py",official-repo,"backbone variant, reported apart, never pooled",systematic,controlled_fixed_reference
FairSIN,GCN,credit,GCN,controlled,neutralisation x + delta*MLP(x) and the discriminator step,"delta=0.25, d='yes'","delta=0, d='no'",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",hidden=13; c_lr=0.1; e_lr=0.1; c_wd=0.0; e_wd=0.0; d_lr=0.1; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=10; dropout=0.5; alpha=1.0; prop=scatter,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:60 (ablation block), script train_mlp.py",official-repo,primary backbone,,same_protocol
FairSIN,GCN,credit,GCN,native,neutralisation x + delta*MLP(x) and the discriminator step,"delta=0.25, d='yes'","delta=0, d='no'",native horizon = 100,"val AUC+F1+ACC - alpha*(DP+EO), strict >, floor 0",hidden=13; c_lr=0.1; e_lr=0.1; c_wd=0.0; e_wd=0.0; d_lr=0.1; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=10; dropout=0.5; alpha=1.0; prop=scatter,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:60 (ablation block), script train_mlp.py",official-repo,primary backbone,systematic,controlled_fixed_reference
FairSIN,GIN,credit,GIN,controlled,neutralisation x + delta*MLP(x) and the discriminator step,"delta=0.25, d='yes'","delta=0, d='no'",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",hidden=13; c_lr=0.1; e_lr=0.1; c_wd=0.0; e_wd=0.0; d_lr=0.1; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=10; dropout=0.5; alpha=1.0; prop=scatter,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:82 (ablation block), script train_mlp.py",official-repo,"backbone variant, reported apart, never pooled",,same_protocol
FairSIN,GIN,credit,GIN,native,neutralisation x + delta*MLP(x) and the discriminator step,"delta=0.25, d='yes'","delta=0, d='no'",native horizon = 100,"val AUC+F1+ACC - alpha*(DP+EO), strict >, floor 0",hidden=13; c_lr=0.1; e_lr=0.1; c_wd=0.0; e_wd=0.0; d_lr=0.1; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=10; dropout=0.5; alpha=1.0; prop=scatter,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:82 (ablation block), script train_mlp.py",official-repo,"backbone variant, reported apart, never pooled",systematic,controlled_fixed_reference
FairSIN,SAGE,credit,SAGE,controlled,neutralisation x + delta*MLP(x) and the discriminator step,"delta=1.5, d='yes'","delta=0, d='no'",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",hidden=18; c_lr=0.15; e_lr=0.15; c_wd=0.001; e_wd=0.001; d_lr=0.01; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=10; dropout=0.2; alpha=1.0; prop=scatter; m_lr=0.1,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:104 (ablation block), script in-train.py",official-repo,"backbone variant, reported apart, never pooled",,same_protocol
FairSIN,SAGE,credit,SAGE,native,neutralisation x + delta*MLP(x) and the discriminator step,"delta=1.5, d='yes'","delta=0, d='no'",native horizon = 150,"val AUC+F1+ACC - alpha*(DP+EO), strict >, floor 0",hidden=18; c_lr=0.15; e_lr=0.15; c_wd=0.001; e_wd=0.001; d_lr=0.01; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=10; dropout=0.2; alpha=1.0; prop=scatter; m_lr=0.1,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:104 (ablation block), script in-train.py",official-repo,"backbone variant, reported apart, never pooled",systematic,controlled_fixed_reference
FairSIN,GCN,pokec_z,GCN,controlled,neutralisation x + delta*MLP(x),"delta=1.0, d='no'","delta=0, d='no'",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",hidden=18; c_lr=0.1; e_lr=0.01; c_wd=0.0; e_wd=0.0; d_lr=0.01; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=20; dropout=0.5; alpha=1.0; prop=scatter; m_lr=0.1,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:71 (ablation block), script in-train.py",official-repo,primary backbone,,same_protocol
FairSIN,GCN,pokec_z,GCN,native,neutralisation x + delta*MLP(x),"delta=1.0, d='no'","delta=0, d='no'",native horizon = 100,"val AUC+F1+ACC - alpha*(DP+EO), strict >, floor 0",hidden=18; c_lr=0.1; e_lr=0.01; c_wd=0.0; e_wd=0.0; d_lr=0.01; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=20; dropout=0.5; alpha=1.0; prop=scatter; m_lr=0.1,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:71 (ablation block), script in-train.py",official-repo,primary backbone,systematic,controlled_fixed_reference
FairSIN,GIN,pokec_z,GIN,controlled,neutralisation x + delta*MLP(x),"delta=1.0, d='no'","delta=0, d='no'",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",hidden=18; c_lr=0.1; e_lr=0.01; c_wd=0.0; e_wd=0.0; d_lr=0.01; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=20; dropout=0.5; alpha=1.0; prop=scatter; m_lr=0.1,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:93 (ablation block), script in-train.py",official-repo,"backbone variant, reported apart, never pooled",,same_protocol
FairSIN,GIN,pokec_z,GIN,native,neutralisation x + delta*MLP(x),"delta=1.0, d='no'","delta=0, d='no'",native horizon = 100,"val AUC+F1+ACC - alpha*(DP+EO), strict >, floor 0",hidden=18; c_lr=0.1; e_lr=0.01; c_wd=0.0; e_wd=0.0; d_lr=0.01; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=20; dropout=0.5; alpha=1.0; prop=scatter; m_lr=0.1,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:93 (ablation block), script in-train.py",official-repo,"backbone variant, reported apart, never pooled",systematic,controlled_fixed_reference
FairSIN,SAGE,pokec_z,SAGE,controlled,neutralisation x + delta*MLP(x),"delta=1.0, d='no'","delta=0, d='no'",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",hidden=18; c_lr=0.1; e_lr=0.01; c_wd=0.0; e_wd=0.0; d_lr=0.01; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=20; dropout=0.5; alpha=1.0; prop=scatter; m_lr=0.1,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:116 (ablation block), script in-train.py",official-repo,"backbone variant, reported apart, never pooled",,same_protocol
FairSIN,SAGE,pokec_z,SAGE,native,neutralisation x + delta*MLP(x),"delta=1.0, d='no'","delta=0, d='no'",native horizon = 150,"val AUC+F1+ACC - alpha*(DP+EO), strict >, floor 0",hidden=18; c_lr=0.1; e_lr=0.01; c_wd=0.0; e_wd=0.0; d_lr=0.01; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=20; dropout=0.5; alpha=1.0; prop=scatter; m_lr=0.1,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:116 (ablation block), script in-train.py",official-repo,"backbone variant, reported apart, never pooled",systematic,controlled_fixed_reference
FairSIN,GCN,pokec_n,GCN,controlled,neutralisation x + delta*MLP(x),"delta=1.0, d='no'","delta=0, d='no'",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",hidden=18; c_lr=0.1; e_lr=0.01; c_wd=0.0; e_wd=0.0; d_lr=0.01; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=20; dropout=0.5; alpha=1.0; prop=scatter; m_lr=0.1,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:68 (ablation block), script in-train.py",official-repo,primary backbone,,same_protocol
FairSIN,GCN,pokec_n,GCN,native,neutralisation x + delta*MLP(x),"delta=1.0, d='no'","delta=0, d='no'",native horizon = 100,"val AUC+F1+ACC - alpha*(DP+EO), strict >, floor 0",hidden=18; c_lr=0.1; e_lr=0.01; c_wd=0.0; e_wd=0.0; d_lr=0.01; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=20; dropout=0.5; alpha=1.0; prop=scatter; m_lr=0.1,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:68 (ablation block), script in-train.py",official-repo,primary backbone,systematic,controlled_fixed_reference
FairSIN,GIN,pokec_n,GIN,controlled,neutralisation x + delta*MLP(x),"delta=1.0, d='no'","delta=0, d='no'",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",hidden=18; c_lr=0.1; e_lr=0.01; c_wd=0.0; e_wd=0.0; d_lr=0.01; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=20; dropout=0.5; alpha=1.0; prop=scatter; m_lr=0.1,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:90 (ablation block), script in-train.py",official-repo,"backbone variant, reported apart, never pooled",,same_protocol
FairSIN,GIN,pokec_n,GIN,native,neutralisation x + delta*MLP(x),"delta=1.0, d='no'","delta=0, d='no'",native horizon = 100,"val AUC+F1+ACC - alpha*(DP+EO), strict >, floor 0",hidden=18; c_lr=0.1; e_lr=0.01; c_wd=0.0; e_wd=0.0; d_lr=0.01; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=20; dropout=0.5; alpha=1.0; prop=scatter; m_lr=0.1,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:90 (ablation block), script in-train.py",official-repo,"backbone variant, reported apart, never pooled",systematic,controlled_fixed_reference
