method,dataset,configuration,shared_backbone,claimed_intervention,m_minus_I_state,m_plus_I_state,shared_horizon,shared_checkpoint_selector,shared_optimizer_and_hyperparameters,shared_preprocessing,source_file_or_command,provenance,qualification,shared_split_and_seeds,shared_evaluator
EDITS,credit,default,GCN,debiasing stage EDITS.fit: attribute debiasing (4 lowest-weight columns zeroed) + structural debiasing binarised at threshold,stage bypassed: original features and adjacency into the same predict(),"fit() then predict(), threshold_proportion=0.01",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",lr=0.001; weight_decay=1e-05; debiaser dropout=0.8; debias fit epochs=500; nhid=50,load_data(feature_normalize=False); features / column norm,utils/param.json[EDITS] + train_baselines.py:567-587,local-unverified (repository wrapper),wrapper param routing repaired ; upstream repo not vendored,"6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
EDITS,german,default,GCN,debiasing stage EDITS.fit: attribute debiasing (4 lowest-weight columns zeroed) + structural debiasing binarised at threshold,stage bypassed: original features and adjacency into the same predict(),"fit() then predict(), threshold_proportion=0.29",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",lr=0.001; weight_decay=1e-05; debiaser dropout=0.3; debias fit epochs=100; nhid=50,load_data(feature_normalize=False); features / column norm,utils/param.json[EDITS] + train_baselines.py:567-587,local-unverified (repository wrapper),wrapper param routing repaired ; upstream repo not vendored,"6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FairEdit,bail,default,GCN,gradient-guided edge editing (fair_graph_edit while epoch < edit_num),edit_num=0,edit_num=10,H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",lr=0.001; weight_decay=0.0001; hidden=32; dropout=0.2; model=gcn,load_data(feature_normalize=False); fit() feature_norm keeping the sensitive column,utils/param.json[FairEdit] + train_baselines.py:550-565,local-unverified (repository wrapper),the intervention removes 20 of ~44k edges at the repository default,"6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FairEdit,credit,default,GCN,gradient-guided edge editing (fair_graph_edit while epoch < edit_num),edit_num=0,edit_num=10,H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",lr=0.001; weight_decay=0.001; hidden=16; dropout=0.2; model=gcn,load_data(feature_normalize=False); fit() feature_norm keeping the sensitive column,utils/param.json[FairEdit] + train_baselines.py:550-565,local-unverified (repository wrapper),the intervention removes 20 of ~44k edges at the repository default,"6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FairEdit,german,default,GCN,gradient-guided edge editing (fair_graph_edit while epoch < edit_num),edit_num=0,edit_num=10,H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",lr=0.001; weight_decay=0.005; hidden=4; dropout=0.2; model=gcn,load_data(feature_normalize=True); fit() feature_norm keeping the sensitive column,utils/param.json[FairEdit] + train_baselines.py:550-565,local-unverified (repository wrapper),the intervention removes 20 of ~44k edges at the repository default,"6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FairGB,bail,default,SAGE,contribution alignment (CAL) and counterfactual node mixup (CNM),"use_cal=False, use_cnm=False",alpha=2,H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",alpha=2; c_lr=0.01; e_lr=0.01; hidden=16,feature_normalize=True,FairGB-main/run.sh,official-repo,official-repo-default: hidden=16 (run.sh does not set it),"6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FairGB,credit,default,SAGE,contribution alignment (CAL) and counterfactual node mixup (CNM),"use_cal=False, use_cnm=False",alpha=1,H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",alpha=1; c_lr=0.01; c_wd=0.0001; e_lr=0.01; e_wd=0.0001; hidden=16,feature_normalize=True,FairGB-main/run.sh,official-repo,official-repo-default: hidden=16 (run.sh does not set it),"6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FairGB,german,default,SAGE,contribution alignment (CAL) and counterfactual node mixup (CNM),"use_cal=False, use_cnm=False","alpha=4, eta=0.7",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",alpha=4; c_lr=0.01; e_lr=0.01; eta=0.7; hidden=16,feature_normalize=True,FairGB-main/run.sh,official-repo,official-repo-default: hidden=16 (run.sh does not set it),"6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FairGNN,bail,default,GCN,adversarial debiasing: a covariance constraint (alpha) and an adversary loss (beta) against a sensitive-attribute estimator,"alpha=0.0, beta=0.0","alpha=2, beta=0.05",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",acc=0.54; alpha=2; beta=0.05; lr=0.001; num_hidden=128; weight_decay=0.0,feature_normalize=False,utils/param.json,local-unverified,"FairGNN's own repository configures nba, pokec_n and pokec_z only -- never german, bail or credit","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FairGNN,credit,default,GCN,adversarial debiasing: a covariance constraint (alpha) and an adversary loss (beta) against a sensitive-attribute estimator,"alpha=0.0, beta=0.0","alpha=1, beta=0.005",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",acc=0.3; alpha=1; beta=0.005; lr=0.001; num_hidden=128; weight_decay=0.0,feature_normalize=False,utils/param.json,local-unverified,"FairGNN's own repository configures nba, pokec_n and pokec_z only -- never german, bail or credit","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FairGNN,german,default,GCN,adversarial debiasing: a covariance constraint (alpha) and an adversary loss (beta) against a sensitive-attribute estimator,"alpha=0.0, beta=0.0","alpha=8, beta=0.005",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",acc=0.36000000000000004; alpha=8; beta=0.005; lr=0.001; num_hidden=16; weight_decay=0.0,feature_normalize=True,"harness/provenance/nifty_README.md (NIFTY, as a baseline)",third-party-benchmark,"FairGNN's own repository configures nba, pokec_n and pokec_z only -- never german, bail or credit; alpha/beta come from param.json and remain local-unverified","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FairGNN,pokec_n,default,GCN,adversarial debiasing: a covariance constraint (alpha) and an adversary loss (beta) against a sensitive-attribute estimator,"alpha=0.0, beta=0.0","alpha=8, beta=0.01",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",acc=0.3; alpha=8; beta=0.01; lr=0.001; num_hidden=128; weight_decay=0.0,feature_normalize=False,utils/param.json,local-unverified,"FairGNN's own repository configures nba, pokec_n and pokec_z only -- never german, bail or credit","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FairGNN,pokec_n,upstreamGAT,GAT,adversarial debiasing: a covariance constraint (alpha) and an adversary loss (beta) against a sensitive-attribute estimator,"alpha=0, beta=0","alpha=4, beta=0.01",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0","lr=0.001; weight_decay=1e-05; GAT_body: 1 layer, heads [1,1], hidden 64, feat_drop 0.5, attn_drop 0",feature_normalize=False,FairGNN upstream src/scripts/pokec_n/train_fairGAT.sh (harness/provenance/fairgnn_upstream),official-repo,"upstream configuration; the primary cell keeps utils/param.json; recorded, not applied: --acc/--roc, --epochs, --sens_number","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FairGNN,pokec_n,upstreamGCN,GCN,adversarial debiasing: a covariance constraint (alpha) and an adversary loss (beta) against a sensitive-attribute estimator,"alpha=0, beta=0","alpha=50, beta=1",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",lr=0.001; weight_decay=1e-05,feature_normalize=False,FairGNN upstream src/scripts/pokec_n/train_fairGCN.sh (harness/provenance/fairgnn_upstream),official-repo,"upstream configuration; the primary cell keeps utils/param.json; recorded, not applied: --acc/--roc, --epochs, --sens_number; --num-hidden 128 (the wrapper builds at 64)","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FairGNN,pokec_n_g,default,GCN,adversarial debiasing: a covariance constraint (alpha) and an adversary loss (beta) against a sensitive-attribute estimator,"alpha=0.0, beta=0.0","alpha=8, beta=0.01",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",acc=0.3; alpha=8; beta=0.01; lr=0.001; num_hidden=128; weight_decay=0.0,feature_normalize=False,utils/param.json,local-unverified,"FairGNN's own repository configures nba, pokec_n and pokec_z only -- never german, bail or credit","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FairGNN,pokec_z,default,GCN,adversarial debiasing: a covariance constraint (alpha) and an adversary loss (beta) against a sensitive-attribute estimator,"alpha=0.0, beta=0.0","alpha=4, beta=0.01",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",acc=0.3; alpha=4; beta=0.01; lr=0.001; num_hidden=128; weight_decay=0.0,feature_normalize=False,utils/param.json,local-unverified,"FairGNN's own repository configures nba, pokec_n and pokec_z only -- never german, bail or credit","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FairGNN,pokec_z,upstreamGAT,GAT,adversarial debiasing: a covariance constraint (alpha) and an adversary loss (beta) against a sensitive-attribute estimator,"alpha=0, beta=0","alpha=10, beta=0.01",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0","lr=0.001; weight_decay=1e-05; GAT_body: 1 layer, heads [1,1], hidden 64, feat_drop 0.5, attn_drop 0",feature_normalize=False,FairGNN upstream src/scripts/pokec_z/train_fairGAT.sh (harness/provenance/fairgnn_upstream),official-repo,"upstream configuration; the primary cell keeps utils/param.json; recorded, not applied: --acc/--roc, --epochs, --sens_number","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FairGNN,pokec_z,upstreamGCN,GCN,adversarial debiasing: a covariance constraint (alpha) and an adversary loss (beta) against a sensitive-attribute estimator,"alpha=0, beta=0","alpha=100, beta=1",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",lr=0.001; weight_decay=1e-05,feature_normalize=False,FairGNN upstream src/scripts/pokec_z/train_fairGCN.sh (harness/provenance/fairgnn_upstream),official-repo,"upstream configuration; the primary cell keeps utils/param.json; recorded, not applied: --acc/--roc, --epochs, --sens_number; --num-hidden 128 (the wrapper builds at 64)","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FairGNN,pokec_z_g,default,GCN,adversarial debiasing: a covariance constraint (alpha) and an adversary loss (beta) against a sensitive-attribute estimator,"alpha=0.0, beta=0.0","alpha=4, beta=0.01",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",acc=0.3; alpha=4; beta=0.01; lr=0.001; num_hidden=128; weight_decay=0.0,feature_normalize=False,utils/param.json,local-unverified,"FairGNN's own repository configures nba, pokec_n and pokec_z only -- never german, bail or credit","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FairSIN,bail,GCN,GCN,neutralisation x + delta*MLP(x) and the discriminator step,"delta=0, d='no'","delta=0.1, d='yes'",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",hidden=18; c_lr=0.01; e_lr=0.01; c_wd=0.0; e_wd=0.0; d_lr=0.01; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=20; dropout=0.5; alpha=1.0; prop=scatter; m_lr=0.1,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:65 (ablation block), script in-train.py",official-repo,primary backbone,"6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FairSIN,bail,GIN,GIN,neutralisation x + delta*MLP(x) and the discriminator step,"delta=0, d='no'","delta=1.25, d='yes'",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",hidden=54; c_lr=0.01; e_lr=0.01; c_wd=0.0; e_wd=0.0; d_lr=0.01; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=20; dropout=0.5; alpha=1.0; prop=scatter; m_lr=0.1,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:87 (ablation block), script in-train.py",official-repo,"backbone variant, reported apart, never pooled","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FairSIN,bail,SAGE,SAGE,neutralisation x + delta*MLP(x) and the discriminator step,"delta=0, d='no'","delta=0.05, d='yes'",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",hidden=36; c_lr=0.01; e_lr=0.01; c_wd=0.0; e_wd=0.0; d_lr=0.01; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=10; dropout=0.8; alpha=1.0; prop=scatter; m_lr=0.1,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:109 (ablation block), script in-train.py",official-repo,"backbone variant, reported apart, never pooled","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FairSIN,credit,GCN,GCN,neutralisation x + delta*MLP(x) and the discriminator step,"delta=0, d='no'","delta=0.25, d='yes'",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",hidden=13; c_lr=0.1; e_lr=0.1; c_wd=0.0; e_wd=0.0; d_lr=0.1; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=10; dropout=0.5; alpha=1.0; prop=scatter,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:60 (ablation block), script train_mlp.py",official-repo,primary backbone,"6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FairSIN,credit,GIN,GIN,neutralisation x + delta*MLP(x) and the discriminator step,"delta=0, d='no'","delta=0.25, d='yes'",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",hidden=13; c_lr=0.1; e_lr=0.1; c_wd=0.0; e_wd=0.0; d_lr=0.1; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=10; dropout=0.5; alpha=1.0; prop=scatter,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:82 (ablation block), script train_mlp.py",official-repo,"backbone variant, reported apart, never pooled","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FairSIN,credit,SAGE,SAGE,neutralisation x + delta*MLP(x) and the discriminator step,"delta=0, d='no'","delta=1.5, d='yes'",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",hidden=18; c_lr=0.15; e_lr=0.15; c_wd=0.001; e_wd=0.001; d_lr=0.01; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=10; dropout=0.2; alpha=1.0; prop=scatter; m_lr=0.1,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:104 (ablation block), script in-train.py",official-repo,"backbone variant, reported apart, never pooled","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FairSIN,german,GCN,GCN,neutralisation x + delta*MLP(x) and the discriminator step,"delta=0, d='no'","delta=0.1, d='yes'",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",hidden=18; c_lr=0.1; e_lr=0.1; c_wd=0.0; e_wd=0.0; d_lr=0.01; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=20; dropout=0.5; alpha=1.0; prop=scatter; m_lr=0.1,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:55 (ablation block), script in-train.py",official-repo,primary backbone,"6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FairSIN,german,GIN,GIN,neutralisation x + delta*MLP(x) and the discriminator step,"delta=0, d='no'","delta=0.5, d='yes'",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",hidden=54; c_lr=0.01; e_lr=0.01; c_wd=0.0; e_wd=0.0; d_lr=0.01; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=20; dropout=0.5; alpha=2.0; prop=scatter; m_lr=0.1,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:77 (ablation block), script in-train.py",official-repo,"backbone variant, reported apart, never pooled","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
